Key,Tranditional Chinese [zh-TC]
002_t,<nobr>本回合</nobr>每進行一次反擊獲得<sprite name=XP1>。
004_b,本回合中，任何指定一個相鄰友軍的攻擊的目標改為你，無視攻擊範圍。
007_b,在接下來的6次指定你為目標的攻擊中，獲得<nobr>護盾<sprite name=Shield> *BShield*。</nobr>
013_b,<nobr>本回合，</nobr>你的所有攻擊附加<nobr>+1攻擊力<sprite name=Attack>。</nobr>
015_b,免疫接下來你受到的三次傷害。
016_b,如果你的移動路徑為一條直線，執行
022_t,消滅一個與你相鄰的被<nobr>擊暈<sprite name=Stun></nobr>的普通級別敵人。
023_b,你可以將所有的<nobr>移動<sprite name=Move></nobr>行動轉化為等值的<nobr>攻擊<sprite name=Attack></nobr>行動。
026_b,本回合中，你對處於<nobr>繳械<sprite name=Disarm></nobr>，<nobr>禁足<sprite name=Immobilize></nobr>，<nobr>擊暈<sprite name=Stun></nobr>狀態敵人的攻擊附加<nobr>+3攻擊力<sprite name=Attack>。</nobr>
030_t_1,在相鄰的一個空格子內建立一個造成6點傷害的陷阱。
030_t_2,當敵人觸發陷阱時獲得<sprite name=XP2>。
031_t,召喚分身誘餌
037_b,一名與你相鄰的盟友可以<nobr>回收<sprite name=Recover></nobr>所有的棄牌堆的卡牌。
040_b,本輪中，你以及所有與你相鄰的友軍在所有攻擊中附加<nobr>+1攻擊力<sprite name=Attack>。</nobr>
043_b_1,一名在你<nobr>射程<sprite name=Range>2</nobr>以內的盟友可以<nobr>回收<sprite name=Recover></nobr>一張其棄牌堆的卡牌。
043_b_2,則最多兩張棄牌。
043_t,在一個相鄰的空格子內建立一個2點傷害的附加中毒<sprite name=Poison>的陷阱。
044_t,你接下來的4次治療行動附加<nobr>+2治療值<sprite name=Heal>。</nobr>
045_b,<nobr>射程範圍<sprite name=Range>3</nobr>內的一名友軍可以<nobr>回收<sprite name=Recover></nobr>一張他的燒牌堆的卡牌。
047_b,在一個相鄰的空格子內建立一個附加擊暈<sprite name=Stun>的陷阱。
049_t,召喚戰鬥機器
051_t,一名相鄰友軍可以<nobr>重置<sprite name=Refresh></nobr>他的一個已消耗的隨身物品<sprite name=InvSmallItem>。
052_t_1,消滅目的地區域內當前生命值<nobr>小於或等於5</nobr>的所有敵人。
052_t_2,每消滅一個敵人獲得<sprite name=XP1>。
053_b,在你接下來的四個行動輪結束時，每輪可以選擇一名<nobr>射程範圍<sprite name=Range>3</nobr>內的友軍<nobr>回收<sprite name=Recover></nobr>一張他的棄牌堆的卡牌。
053_t,在相鄰的一個空格子內建立一個造成4傷害並附加<nobr>混亂<sprite name=Muddle></nobr>的陷阱。
